Nama            ,Jenis Kelamin ,Umur  ,Warna   ,Lokasi       ,Status Vaksinasi ,Cluster
Hachi           ,Jantan        ,Young ,Hitam   ,Sidoarjo     ,Sudah            ,     15
Bedok           ,Betina        ,Baby  ,Coklat  ,Surabaya     ,Belum            ,      9
Januari         ,Jantan        ,Baby  ,Coklat  ,Surabaya     ,Belum            ,     15
Iwak            ,Jantan        ,Baby  ,Abu-Abu ,Surabaya     ,Belum            ,     23
Moza            ,Betina        ,Adult ,Abu-Abu ,Surabaya     ,Belum            ,     14
Theo            ,Jantan        ,Young ,Orange  ,Surabaya     ,Belum            ,     26
Chika           ,Betina        ,Adult ,Orange  ,Surabaya     ,Sudah            ,     10
Mao             ,Betina        ,Baby  ,Abu-Abu ,Surabaya     ,Sudah            ,      3
Fella           ,Betina        ,Baby  ,Hitam   ,Sidoarjo     ,Sudah            ,     28
Aang            ,Betina        ,Young ,Hitam   ,Sidoarjo     ,Sudah            ,     22
Dewi            ,Betina        ,Adult ,Orange  ,Sidoarjo     ,Belum            ,     27
Putih           ,Jantan        ,Adult ,Putih   ,Surabaya     ,Sudah            ,      6
Sana            ,Betina        ,Adult ,Putih   ,Sidoarjo     ,Sudah            ,      5
Chimmy          ,Betina        ,Young ,Abu-Abu ,Surabaya     ,Belum            ,     31
Jebug           ,Jantan        ,Young ,Putih   ,Sidoarjo     ,Belum            ,     18
Daffa           ,Jantan        ,Adult ,Putih   ,Surabaya     ,Belum            ,      2
Kitty           ,Betina        ,Adult ,Abu-Abu ,Surabaya     ,Belum            ,     14
Hiro            ,Jantan        ,Young ,Putih   ,Surabaya     ,Belum            ,     18
Manis           ,Jantan        ,Adult ,Abu-Abu ,Surabaya     ,Belum            ,     17
Abu             ,Jantan        ,Young ,Abu-Abu ,Sidoarjo     ,Sudah            ,     30
Lala            ,Betina        ,Adult ,Orange  ,Sidoarjo     ,Sudah            ,     10
Maru            ,Jantan        ,Adult ,Orange  ,Sidoarjo     ,Sudah            ,     20
Milo            ,Jantan        ,Young ,Abu-Abu ,Sidoarjo     ,Sudah            ,     30
Bobi            ,Jantan        ,Young ,Orange  ,Surabaya     ,Belum            ,     26
Eden            ,Jantan        ,Young ,Hitam   ,Surabaya     ,Belum            ,     11
Jane            ,Betina        ,Adult ,Putih   ,Surabaya     ,Sudah            ,      5
Momo            ,Betina        ,Adult ,Putih   ,Surabaya     ,Belum            ,     19
Simba           ,Betina        ,Adult ,Orange  ,Surabaya     ,Belum            ,     27
Momo            ,Jantan        ,Adult ,Putih   ,Surabaya     ,Belum            ,      2
Inul            ,Betina        ,Adult ,Putih   ,Kota Lainnya ,Sudah            ,      5
Jackie          ,Jantan        ,Adult ,Abu-Abu ,Surabaya     ,Sudah            ,     12
Teboy           ,Betina        ,Baby  ,Putih   ,Kota Lainnya ,Belum            ,     29
Jembrong        ,Jantan        ,Adult ,Abu-Abu ,Kota Lainnya ,Belum            ,     17
Milo            ,Betina        ,Adult ,Putih   ,Kota Lainnya ,Belum            ,     19
Anjing          ,Jantan        ,Adult ,Putih   ,Kota Lainnya ,Sudah            ,      6
Snowy           ,Jantan        ,Adult ,Putih   ,Sidoarjo     ,Sudah            ,      6
Vivi            ,Betina        ,Young ,Putih   ,Kota Lainnya ,Belum            ,     33
Bongki          ,Betina        ,Adult ,Putih   ,Surabaya     ,Belum            ,     19
Cheryl          ,Betina        ,Adult ,Putih   ,Kota Lainnya ,Belum            ,     19
Maru            ,Jantan        ,Adult ,Orange  ,Kota Lainnya ,Sudah            ,     20
Gombrong        ,Betina        ,Young ,Putih   ,Kota Lainnya ,Belum            ,     33
Kiki            ,Betina        ,Adult ,Abu-Abu ,Jakarta      ,Sudah            ,     25
Snowy           ,Betina        ,Young ,Putih   ,Sidoarjo     ,Belum            ,     33
Timo            ,Jantan        ,Young ,Hitam   ,Jakarta      ,Belum            ,     11
